VerticalDisplacement, HorizontalForceInternal, HorizontalForceExternal, VerticalForceInternal, VerticalForceExternal
-0.9579,   0.0000,  -0.0000, 250.4354,  -0.0000
-0.9629,   0.0000,  -0.0000, 253.1351,  -0.0000
-0.9679,   0.0000,  -0.0000, 255.7150,  -0.0000
-0.9729,   0.0000,  -0.0000, 258.1742,  -0.0000
-0.9779,   0.0000,  -0.0000, 260.5119,  -0.0000
-0.9829,   0.0000,  -0.0000, 262.7273,  -0.0000
-0.9879,   0.0000,  -0.0000, 264.8194,  -0.0000
-0.9929,   0.0000,  -0.0000, 266.7876,  -0.0000
-0.9979,   0.0000,  -0.0000, 268.6313,  -0.0000
-1.0029,   0.0000,  -0.0000, 270.3497,  -0.0000
-1.0079,   0.0000,  -0.0000, 271.9423,  -0.0000
-1.0129,   0.0000,  -0.0000, 273.4087,  -0.0000
-1.0179,   0.0000,  -0.0000, 274.7483,  -0.0000
-1.0229,   0.0000,  -0.0000, 275.9607,  -0.0000
-1.0279,   0.0000,  -0.0000, 277.0455,  -0.0000
-1.0329,   0.0000,  -0.0000, 278.0025,  -0.0000
-1.0379,   0.0000,  -0.0000, 278.8314,  -0.0000
-1.0429,   0.0000,  -0.0000, 279.5319,  -0.0000
-1.0479,   0.0000,  -0.0000, 280.1039,  -0.0000
-1.0529,   0.0000,  -0.0000, 280.5473,  -0.0000
-1.0579,   0.0000,  -0.0000, 280.8619,  -0.0000
-1.0629,   0.0000,  -0.0000, 281.0477,  -0.0000
-1.0679,   0.0000,  -0.0000, 281.1047,  -0.0000
-1.0729,   0.0000,  -0.0000, 281.0330,  -0.0000
-1.0779,   0.0000,  -0.0000, 280.8326,  -0.0000
-1.0829,   0.0000,  -0.0000, 280.5036,  -0.0000
-1.0879,   0.0000,  -0.0000, 280.0462,  -0.0000
-1.0929,   0.0000,  -0.0000, 279.4607,  -0.0000
-1.0979,   0.0000,  -0.0000, 278.7471,  -0.0000
-1.1029,   0.0000,  -0.0000, 277.9058,  -0.0000
-1.1079,   0.0000,  -0.0000, 276.9371,  -0.0000
-1.1129,   0.0000,  -0.0000, 275.8413,  -0.0000
-1.1179,   0.0000,  -0.0000, 274.6187,  -0.0000
-1.1229,   0.0000,  -0.0000, 273.2698,  -0.0000
-1.1279,   0.0000,  -0.0000, 271.7949,  -0.0000
-1.1329,   0.0000,  -0.0000, 270.1945,  -0.0000
-1.1379,   0.0000,  -0.0000, 268.4691,  -0.0000
-1.1429,   0.0000,  -0.0000, 266.6192,  -0.0000
-1.1479,   0.0000,  -0.0000, 264.6453,  -0.0000
-1.1529,   0.0000,  -0.0000, 262.5479,  -0.0000
-1.1579,   0.0000,  -0.0000, 260.3276,  -0.0000
-1.1629,   0.0000,  -0.0000, 257.9851,  -0.0000
-1.1679,   0.0000,  -0.0000, 255.5208,  -0.0000
-1.1729,   0.0000,  -0.0000, 252.9355,  -0.0000
-1.1779,   0.0000,  -0.0000, 250.2298,  -0.0000
-1.1829,   0.0000,  -0.0000, 247.4044,  -0.0000
-1.1879,   0.0000,  -0.0000, 244.4600,  -0.0000
-1.1929,   0.0000,  -0.0000, 241.3972,  -0.0000
-1.1979,   0.0000,  -0.0000, 238.2168,  -0.0000
-1.2029,   0.0000,  -0.0000, 234.9196,  -0.0000
-1.2079,   0.0000,  -0.0000, 231.5063,  -0.0000
-1.2129,   0.0000,  -0.0000, 227.9776,  -0.0000
-1.2179,   0.0000,  -0.0000, 224.3343,  -0.0000
-1.2229,   0.0000,  -0.0000, 220.5773,  -0.0000
-1.2279,   0.0000,  -0.0000, 216.7072,  -0.0000
-1.2329,   0.0000,  -0.0000, 212.7251,  -0.0000
-1.2379,   0.0000,  -0.0000, 208.6315,  -0.0000
-1.2429,   0.0000,  -0.0000, 204.4275,  -0.0000
-1.2479,   0.0000,  -0.0000, 200.1138,  -0.0000
-1.2529,   0.0000,  -0.0000, 195.6912,  -0.0000
-1.2579,   0.0000,  -0.0000, 191.1607,  -0.0000
-1.2629,   0.0000,  -0.0000, 186.5230,  -0.0000
-1.2679,   0.0000,  -0.0000, 181.7791,  -0.0000
-1.2729,   0.0000,  -0.0000, 176.9299,  -0.0000
-1.2779,   0.0000,  -0.0000, 171.9761,  -0.0000
-1.2829,   0.0000,  -0.0000, 166.9187,  -0.0000
-1.2879,   0.0000,  -0.0000, 161.7586,  -0.0000
-1.2929,   0.0000,  -0.0000, 156.4966,  -0.0000
-1.2979,   0.0000,  -0.0000, 151.1337,  -0.0000
-1.3029,   0.0000,  -0.0000, 145.6707,  -0.0000
-1.3079,   0.0000,  -0.0000, 140.1085,  -0.0000
-1.3129,   0.0000,  -0.0000, 134.4481,  -0.0000
-1.3179,   0.0000,  -0.0000, 128.6903,  -0.0000
-1.3229,   0.0000,  -0.0000, 122.8360,  -0.0000
-1.3279,   0.0000,  -0.0000, 116.8861,  -0.0000
-1.3329,   0.0000,  -0.0000, 110.8416,  -0.0000
-1.3379,   0.0000,  -0.0000, 104.7032,  -0.0000
-1.3429,   0.0000,  -0.0000,  98.4720,  -0.0000
-1.3479,   0.0000,  -0.0000,  92.1488,  -0.0000
-1.3529,   0.0000,  -0.0000,  85.7344,  -0.0000
-1.3579,   0.0000,  -0.0000,  79.2299,  -0.0000
-1.3629,   0.0000,  -0.0000,  72.6360,  -0.0000
-1.3679,   0.0000,  -0.0000,  65.9537,  -0.0000
-1.3729,   0.0000,  -0.0000,  59.1838,  -0.0000
-1.3779,   0.0000,  -0.0000,  52.3273,  -0.0000
-1.3829,   0.0000,  -0.0000,  45.3849,  -0.0000
-1.3879,   0.0000,  -0.0000,  38.3577,  -0.0000
-1.3929,   0.0000,  -0.0000,  31.2464,  -0.0000
-1.3979,   0.0000,  -0.0000,  24.0518,  -0.0000
-1.4029,   0.0000,  -0.0000,  16.7750,  -0.0000
-1.4079,   0.0000,  -0.0000,   9.4167,  -0.0000
-1.4129,   0.0000,  -0.0000,   1.9777,  -0.0000
-1.4179,   0.0000,  -0.0000,  -5.5410,  -0.0000
-1.4229,   0.0000,  -0.0000, -13.1386,  -0.0000
-1.4279,   0.0000,  -0.0000, -20.8143,  -0.0000
-1.4329,   0.0000,  -0.0000, -28.5673,  -0.0000
-1.4379,   0.0000,  -0.0000, -36.3968,  -0.0000
